,Country,Alpha_flood_occurences,Beta_flood_occurences,Alpha_storm_occurences,Beta_storm_occurences
0,BGD,0.9709077425156265,-0.23074914517848738,1.7615512655758656,-0.4397069693375391
1,HKG,-0.8990452960460554,-1.2749733870696762,-0.24560938851424755,-0.3155372704997116
2,GRC,0.44437771255957637,-0.3582184584418506,-0.4751575354943137,-0.7108677575297258
3,DFR,-1.14500377217297,-1.5635198844597706,-1.1407407884476026,-1.5472844302028923
4,ESP,-0.4236648612849243,0.25857570656155326,-0.27170613116377174,-0.1619084216423936
5,AFG,0.4699456633284286,0.5391848283089432,-0.5761891084561613,-0.3797567194694471
6,DZA,1.0744670055197187,-0.5100181059204496,-0.5197075936347696,-1.0300415832196423
7,IND,1.3913979937597336,0.5119477105714499,-0.21135388344741254,1.1411973736976788
8,CHN,1.3369169764503597,0.6652791445028411,1.0561571071611504,0.8397603007470397
9,IDN,0.08410641339050472,1.2776032249915088,-0.5870675858011716,-0.609192596337548
10,BEL,-0.1153754162494839,-0.5603634152933681,-0.4489617221390976,-0.13873866044196126
11,FRA,0.9501494176844505,-0.37080369842012156,0.08503960844527157,0.37224493417217275
12,ETH,1.3717885642285013,-0.6279152804170945,-1.1304340528110624,-1.5491850786027541
13,GBR,0.5048841458511452,-0.23433938004219124,0.3983098653927851,-0.40116907137443714
14,GHA,-0.23884588345050217,0.09398670194818641,-1.0649813495673255,-1.1566652332709582
15,CYP,-1.1273925008226222,-1.5613775796346416,-0.6768466193892269,-1.133810911845399
16,BEN,-0.22920699427987037,-0.46336406821721193,-0.9061041803560541,-1.2526351462945555
17,HUN,0.21873844948564589,-0.5555842184070563,-0.4092624744685227,-0.506305627655135
18,BWA,-0.4091556988184132,-0.40370732795147846,-0.9192616829276363,-1.2591072676802777
19,CAF,-0.042710245585849765,-0.3446320187712344,-0.48566941223749305,-0.26952332601699025
20,EGY,-0.49126631952026445,-0.8433367579883456,-0.6982484836849088,-0.5050960621839172
21,AUT,-0.15300422740070402,-0.5310916380208358,-0.33237029025715686,-0.3883843626438286
22,CHE,-0.40500401394710184,-0.9219821957808204,-0.18001794947217994,-0.16375744955851626
23,DNK,-1.1390289542527356,-1.5579289721134932,-0.26208806758992687,-0.6452716595879031
24,BFA,-0.13575621866566312,-0.16888849079550283,-1.1383935272424222,-1.5309523443157436
25,DJI,-0.8621401222539388,-0.9467701406618417,-1.0331711095724905,-1.1352764107446822
26,JPN,0.006965946151428012,0.04433740147808766,0.16501406138358887,0.8254719371956555
27,MUS,-0.9404888315949974,-1.1781235403895338,-0.481698468005344,-0.8481010704911356
28,PHL,1.1392366255392126,0.28562828311306954,1.153595295317258,0.653236802747297
29,TWN,-1.1366908174372892,-1.5460039069750438,-1.169511635348243,-1.5468157146502421
30,KOR,0.4756688181807877,-0.6378414337320157,0.40394045617775426,-0.1633285470355403
31,SOM,0.41692417862577225,-0.019626809526910042,-0.8983725698783728,-0.31740878417215096
32,THA,1.3851694553672642,-0.31944731574098006,0.020319453729811258,-0.1945527490662381
33,TUN,-0.4801746350865131,-0.4494435137835155,-1.1309448946679077,-1.5151520746851506
34,JOR,-0.9768791205113952,-0.8304937258526447,-0.6484706449751108,-1.163391584460366
35,MAR,0.1376464350611262,-0.28942396447654334,-0.7192613249309563,-0.8156577013305291
36,MMR,-0.5984748192456083,0.525979450538391,-0.5802805285996183,-0.26732982033103675
