Region,Alpha_Flood,Beta_Flood,Alpha_Storm,Beta_Storm
Southern Asia,0.2114,3.28,0.1141,1.8709
Eastern Asia,0.1701,1.4465,0.1757,1.896
Southern Europe,0.0994,20.6162,0.0704,0.2772
Western Europe,0.0973,16.5825,0.0728,0.3922
Northern Africa,0.0,0.0,0.0,0.0
South-Eastern Asia,0.1126,9.129,0.2455,1.8344
Eastern Africa,0.1132,5.0487,0.105,1.5888
Northern Europe,0.0,0.0,0.0672,0.2188
Western Africa,0.1008,7.301,0.0,0.0
Western Asia,0.0949,5.149,0.0684,0.2742
Eastern Europe,0.1043,2.1591,0.0879,2.2716
Southern Africa,0.0869,2.003,0.0654,0.2789
Middle Africa,0.0911,3.3784,0.0687,0.2768
Russian Federation,0.0948,12.6426,0.0,0.0
Central Asia,0.0865,1.4317,0.0,0.0
